Timestamp,Participant_11,Participant_12,Participant_13,Participant_14,Participant_15,Participant_16,Participant_17,Participant_18,Participant_22,Participant_23,Participant_24,Average
0.0,54.62,88.0,-58.0,29.0,-87.48,-33.77,-2.66,-31.34,-39.66,81.65,-1.32,-0.08727272727272604
0.015625,49.12,84.61,-60.77,29.95,-93.01,-31.03,1.86,-28.71,-45.6,82.38,2.84,-0.7600000000000041
0.03125,44.41,80.6,-64.93,30.03,-99.55,-26.77,5.08,-25.51,-48.4,81.43,13.88,-0.8845454545454557
0.046875,41.23,75.75,-68.01,29.35,-107.8,-22.46,5.92,-22.35,-48.15,79.28,31.93,-0.48272727272727356
0.0625,39.96,69.85,-68.45,28.21,-117.94,-19.55,4.54,-19.71,-45.3,76.76,54.87,0.29454545454545084
0.078125,40.57,63.01,-66.46,26.92,-129.31,-18.92,1.86,-17.71,-40.63,74.47,78.73,1.1390909090909078
0.09375,42.71,55.76,-64.01,25.67,-140.23,-20.47,-1.25,-16.17,-34.98,72.31,99.19,1.6845454545454546
0.109375,45.86,48.96,-63.78,24.5,-148.18,-23.15,-4.63,-14.8,-29.14,69.31,113.31,1.6599999999999993
0.125,49.54,43.47,-67.91,23.3,-150.46,-25.26,-8.79,-13.52,-23.69,64.08,120.73,1.0445454545454553
0.140625,53.4,39.77,-77.33,21.91,-144.96,-25.1,-14.55,-12.48,-19.02,55.42,123.44,0.045454545454544165
0.15625,57.19,37.71,-91.79,20.26,-130.91,-21.47,-22.39,-12.04,-15.31,42.95,124.45,-1.0318181818181826
0.171875,60.74,36.56,-110.35,18.34,-109.26,-14.01,-32.05,-12.5,-12.7,27.39,126.07,-1.9790909090909075
0.1875,63.86,35.39,-131.87,16.28,-82.47,-3.18,-42.53,-13.97,-11.29,10.31,128.89,-2.780000000000001
0.203125,66.25,33.41,-155.19,14.22,-53.76,9.87,-52.51,-16.29,-11.16,-6.46,131.74,-3.625454545454545
0.21875,67.54,30.37,-179.13,12.28,-26.23,23.72,-60.86,-19.23,-12.28,-21.54,132.68,-4.789090909090907
0.234375,67.28,26.52,-202.34,10.54,-2.16,36.97,-66.95,-22.56,-14.41,-34.46,130.09,-6.49818181818182
0.25,65.18,22.41,-223.51,8.96,17.25,48.54,-70.74,-26.17,-17.21,-45.72,123.33,-8.879999999999999
0.265625,61.25,18.45,-241.56,7.52,31.8,57.8,-72.62,-30.04,-20.24,-56.51,112.8,-11.940909090909088
0.28125,55.95,14.72,-255.83,6.16,41.95,64.62,-73.08,-34.16,-23.23,-68.16,99.61,-15.58636363636363
0.296875,50.04,10.81,-265.98,4.86,48.39,69.22,-72.55,-38.48,-26.19,-81.73,85.2,-19.673636363636366
0.3125,44.39,6.08,-271.89,3.6,51.9,72.1,-71.25,-42.91,-29.36,-97.58,71.11,-23.982727272727267
0.328125,39.6,-0.02,-273.46,2.34,53.15,73.85,-69.31,-47.33,-33.15,-115.17,58.66,-28.25818181818182
0.34375,35.83,-7.61,-270.93,0.99,52.74,75.11,-66.87,-51.7,-37.83,-132.96,48.51,-32.24727272727273
0.359375,32.7,-16.28,-265.17,-0.56,51.16,76.41,-64.19,-56.07,-43.4,-148.45,40.42,-35.76636363636363
0.375,29.63,-25.22,-257.94,-2.42,48.85,78.02,-61.57,-60.58,-49.44,-158.6,33.32,-38.72272727272727
0.390625,26.14,-33.52,-251.45,-4.62,46.17,80.08,-59.34,-65.47,-55.29,-160.47,25.89,-41.08
0.40625,22.2,-40.53,-247.56,-7.09,43.43,82.62,-57.68,-70.94,-60.17,-152.21,17.29,-42.78545454545455
0.421875,18.22,-46.15,-247.05,-9.62,40.85,85.71,-56.61,-77.01,-63.43,-133.73,7.61,-43.74636363636364
0.4375,14.75,-50.78,-249.28,-12.0,38.58,89.52,-56.06,-83.42,-64.7,-106.98,-2.24,-43.87363636363636
0.453125,12.25,-55.3,-252.58,-14.08,36.61,94.17,-55.91,-89.48,-63.95,-75.37,-11.28,-43.17454545454546
0.46875,10.73,-60.73,-255.13,-15.86,34.84,99.61,-56.01,-94.15,-61.54,-42.76,-19.24,-41.84
0.484375,9.78,-67.93,-255.62,-17.51,33.09,105.5,-56.25,-96.28,-58.07,-12.28,-26.89,-40.22363636363636
0.5,8.78,-77.17,-253.25,-19.33,31.26,111.25,-56.49,-94.95,-54.29,14.32,-35.55,-38.67454545454546
0.515625,7.2,-87.83,-247.31,-21.57,29.31,116.28,-56.6,-89.8,-50.82,36.72,-46.21,-37.32999999999999
0.53125,4.79,-98.1,-236.61,-24.39,27.24,120.17,-56.56,-81.19,-48.12,55.5,-58.71,-35.99818181818181
0.546875,1.74,-105.22,-219.46,-27.73,24.97,122.81,-56.39,-70.04,-46.39,71.41,-71.57,-34.17000000000001
0.5625,-1.58,-106.1,-194.46,-31.39,22.24,124.35,-56.3,-57.58,-45.61,84.88,-82.76,-31.300909090909098
0.578125,-4.73,-98.31,-161.48,-35.13,18.63,125.05,-56.41,-44.96,-45.62,96.0,-90.63,-27.05363636363636
0.59375,-7.5,-81.11,-122.43,-38.71,13.68,125.21,-56.72,-32.95,-46.03,104.77,-94.73,-21.501818181818184
0.609375,-10.01,-55.92,-81.01,-42.0,7.22,125.14,-57.01,-21.96,-46.25,111.42,-95.84,-15.110909090909088
0.625,-12.66,-26.01,-41.51,-45.01,-0.62,125.18,-56.85,-12.12,-45.45,116.52,-95.38,-8.537272727272727
0.640625,-15.98,4.5,-7.37,-47.9,-9.3,125.67,-55.82,-3.4,-42.71,120.86,-94.53,-2.361818181818181
0.65625,-20.34,31.96,19.77,-50.96,-18.23,126.81,-53.72,4.25,-37.33,125.21,-93.81,3.0554545454545443
0.671875,-25.82,54.21,40.13,-54.61,-26.89,128.57,-50.68,10.9,-29.11,130.03,-93.14,7.5990909090909105
0.6875,-32.01,70.85,54.96,-59.25,-35.1,130.53,-47.23,16.75,-18.57,135.38,-92.29,11.274545454545454
0.703125,-38.18,82.71,65.55,-65.17,-43.04,132.13,-44.1,22.01,-6.81,140.98,-91.27,14.073636363636364
0.71875,-43.47,91.14,72.67,-72.28,-51.05,132.91,-41.97,26.96,4.8,146.4,-90.41,15.972727272727274
0.734375,-47.23,97.23,76.61,-80.04,-59.43,132.74,-41.2,31.86,15.19,151.29,-90.06,16.996363636363636
0.75,-49.28,101.5,77.7,-87.48,-68.22,131.92,-41.73,36.8,23.92,155.48,-90.3,17.300909090909087
0.765625,-50.08,104.13,76.74,-93.37,-77.14,130.95,-43.08,41.74,31.3,158.93,-90.85,17.206363636363637
0.78125,-50.62,105.14,74.91,-96.58,-85.61,130.07,-44.55,46.45,38.06,161.65,-91.32,17.05454545454546
0.796875,-52.18,104.62,73.36,-96.46,-93.06,129.0,-45.59,50.67,44.9,163.54,-91.55,17.022727272727273
0.8125,-55.92,102.77,72.68,-92.96,-99.04,126.72,-45.94,54.2,52.12,164.35,-91.83,17.013636363636365
0.828125,-62.32,99.75,72.69,-86.73,-103.52,121.69,-45.78,57.04,59.45,163.78,-92.76,16.662727272727274
0.84375,-70.62,95.55,72.64,-78.88,-106.82,112.28,-45.58,59.39,66.21,161.63,-94.86,15.54
0.859375,-78.5,90.11,71.73,-70.73,-109.53,97.4,-45.82,61.55,71.66,158.04,-98.14,13.433636363636362
0.875,-82.34,83.34,69.45,-63.48,-112.22,76.8,-46.61,63.75,75.34,153.48,-101.9,10.509999999999998
0.890625,-78.08,75.3,65.8,-58.03,-115.11,51.16,-47.49,66.04,77.16,148.55,-104.87,7.311818181818182
0.90625,-62.7,66.31,61.12,-54.89,-117.87,21.8,-47.39,68.33,77.39,143.73,-105.63,4.563636363636363
0.921875,-35.44,56.84,55.8,-54.13,-119.5,-9.76,-45.01,70.51,76.41,139.03,-103.09,2.878181818181818
0.9375,1.43,47.51,50.19,-55.41,-118.56,-42.22,-39.3,72.67,74.51,133.89,-96.79,2.538181818181817
0.953125,43.05,38.89,44.65,-58.04,-113.45,-74.72,-29.89,75.17,71.85,127.41,-86.76,3.469090909090906
0.96875,83.38,31.46,39.77,-61.03,-102.93,-106.82,-17.31,78.5,68.58,118.79,-73.32,5.370000000000002
0.984375,117.05,25.45,36.3,-63.17,-86.63,-138.35,-2.75,82.96,64.96,108.02,-56.72,7.920000000000001
1.0,140.83,20.87,34.98,-63.27,-65.25,-169.23,12.48,88.38,61.39,96.07,-36.98,10.933636363636365
1.015625,154.3,17.41,36.05,-60.33,-40.46,-199.29,27.46,94.05,58.35,84.69,-14.16,14.37
1.03125,159.36,14.59,39.01,-53.73,-14.4,-227.99,41.9,98.94,56.12,75.52,11.36,18.243636363636366
1.046875,159.08,11.91,42.58,-43.32,11.15,-254.11,56.03,102.1,54.68,69.1,38.57,22.524545454545454
1.0625,156.39,9.02,45.33,-29.35,35.49,-275.53,70.2,103.02,53.84,64.27,66.0,27.152727272727272
1.078125,153.19,5.89,46.22,-12.36,59.47,-289.42,84.49,101.68,53.44,58.37,92.27,32.11272727272727
1.09375,150.13,2.9,45.19,7.04,85.23,-292.85,98.58,98.43,53.66,48.3,116.67,37.57090909090909
1.109375,146.82,0.69,43.09,28.35,115.4,-283.89,111.99,93.75,55.09,31.87,139.45,43.87363636363637
1.125,142.45,-0.02,41.21,51.21,151.94,-262.52,124.3,88.13,58.47,8.84,161.48,51.40818181818181
1.140625,136.23,1.45,40.55,75.45,195.15,-231.0,135.49,82.09,64.28,-19.13,183.48,60.36727272727273
1.15625,127.61,5.48,41.2,100.97,243.38,-193.42,145.83,76.27,72.32,-49.35,205.44,70.52090909090909
1.171875,116.44,12.12,42.32,127.58,293.4,-154.51,155.66,71.35,81.63,-79.52,226.51,81.18
1.1875,102.91,21.0,42.51,154.78,341.42,-118.44,165.07,67.86,90.81,-108.72,245.57,91.34272727272727
1.203125,87.52,31.41,40.69,181.73,384.09,-88.06,173.7,65.89,98.59,-137.64,261.96,99.9890909090909
1.21875,71.03,42.27,36.64,207.29,418.89,-64.95,180.69,64.98,104.31,-167.99,275.87,106.27545454545456
1.234375,54.25,52.35,31.23,230.28,444.06,-49.51,184.83,64.32,108.12,-201.57,288.0,109.66909090909093
1.25,37.7,60.45,25.99,249.92,458.15,-41.55,184.49,63.04,110.77,-239.71,298.84,109.82636363636362
1.265625,21.29,65.66,22.42,266.07,459.68,-40.53,177.66,60.52,113.16,-283.08,307.99,106.44000000000001
1.28125,4.09,67.43,21.19,279.19,447.3,-45.7,162.03,56.4,115.96,-331.73,314.14,99.1181818181818
1.296875,-15.5,65.59,21.85,289.91,420.36,-56.56,135.63,50.4,119.41,-384.8,315.59,87.44363636363637
1.3125,-39.26,60.32,23.12,298.31,379.4,-73.36,97.88,42.1,123.38,-439.81,310.98,71.18727272727273
1.328125,-68.28,52.06,23.51,303.27,326.28,-97.6,50.65,30.93,127.61,-492.26,299.77,50.53999999999999
1.34375,-102.26,41.41,22.0,302.46,263.66,-131.52,-1.44,16.21,131.82,-536.06,282.21,26.226363636363633
1.359375,-139.05,28.93,18.26,292.86,194.55,-176.61,-51.75,-2.75,135.85,-565.21,258.87,-0.5500000000000062
1.375,-174.9,14.95,12.24,271.72,121.9,-231.37,-93.58,-26.79,139.56,-575.99,230.36,-28.354545454545452
1.390625,-205.18,-0.58,3.67,237.46,48.9,-290.06,-122.3,-56.71,142.88,-568.59,197.21,-55.75454545454545
1.40625,-225.69,-18.08,-8.03,190.37,-20.7,-343.23,-136.78,-93.23,145.78,-546.86,160.09,-81.48727272727272
1.421875,-233.85,-37.87,-23.31,132.96,-82.53,-380.44,-139.36,-136.4,148.27,-516.5,119.95,-104.46181818181817
1.4375,-229.48,-59.77,-41.59,69.9,-132.32,-393.99,-134.38,-184.94,150.32,-482.35,77.85,-123.70454545454545
1.453125,-214.92,-82.6,-60.67,7.41,-167.09,-381.75,-126.32,-235.84,151.54,-446.7,34.61,-138.39363636363638
1.46875,-194.16,-104.06,-77.37,-47.81,-186.2,-347.49,-118.22,-284.58,151.03,-409.31,-9.54,-147.97363636363636
1.484375,-171.63,-121.28,-88.58,-90.16,-191.68,-298.6,-111.25,-326.05,147.23,-369.01,-54.72,-152.3390909090909
1.5,-150.85,-131.47,-92.84,-116.68,-187.46,-242.67,-105.41,-355.87,138.28,-325.7,-100.73,-151.94545454545457
1.515625,-133.61,-132.82,-91.0,-127.89,-178.02,-184.83,-100.4,-371.51,122.47,-281.21,-146.31,-147.7390909090909
1.53125,-119.95,-125.04,-85.54,-127.37,-167.0,-127.36,-96.34,-372.78,98.98,-238.7,-188.82,-140.9018181818182
1.546875,-108.7,-109.37,-78.96,-120.34,-156.62,-71.25,-93.68,-361.73,68.33,-201.05,-224.82,-132.56272727272727
1.5625,-98.39,-88.26,-72.07,-111.67,-147.74,-18.33,-92.77,-341.96,32.45,-169.51,-251.25,-123.5909090909091
1.578125,-87.97,-64.65,-63.6,-104.41,-140.41,27.91,-93.34,-317.85,-5.66,-143.48,-266.65,-114.55545454545455
1.59375,-77.09,-41.45,-51.32,-99.38,-134.46,63.31,-94.38,-293.81,-42.62,-121.5,-271.69,-105.85363636363637
1.609375,-66.05,-21.06,-33.93,-95.99,-129.71,85.19,-94.63,-273.49,-75.42,-102.44,-268.76,-97.84454545454545
1.625,-55.47,-5.08,-12.44,-93.35,-125.95,94.05,-93.04,-259.06,-101.97,-86.18,-260.88,-90.85181818181819
1.640625,-45.94,5.78,9.91,-91.16,-122.82,93.73,-89.39,-250.66,-121.43,-73.36,-250.57,-85.08272727272728
1.65625,-37.84,11.68,29.24,-89.72,-119.82,89.61,-84.3,-246.46,-134.1,-64.44,-239.22,-80.48818181818183
1.671875,-31.35,13.5,43.0,-89.34,-116.52,86.21,-79.07,-243.46,-141.12,-59.05,-227.22,-76.76545454545455
1.6875,-26.47,12.45,51.03,-89.82,-112.71,85.5,-75.02,-238.77,-144.03,-55.86,-214.63,-73.48454545454545
1.703125,-23.11,9.8,55.3,-90.32,-108.49,86.79,-73.05,-230.88,-144.28,-53.22,-201.77,-70.29363636363637
1.71875,-21.21,6.74,58.4,-89.84,-104.26,87.7,-73.33,-220.14,-142.96,-49.92,-189.35,-67.10636363636364
1.734375,-20.71,4.04,61.99,-87.77,-100.54,86.06,-75.34,-208.39,-140.71,-45.88,-178.15,-64.12727272727273
1.75,-21.56,2.13,66.16,-84.29,-97.76,81.15,-78.09,-197.79,-137.82,-42.23,-168.53,-61.693636363636365
1.765625,-23.71,1.15,69.77,-80.23,-96.03,73.89,-80.52,-189.74,-134.4,-40.94,-160.19,-60.08636363636363
1.78125,-27.07,1.01,71.6,-76.71,-95.15,66.18,-81.71,-184.3,-130.59,-43.92,-152.27,-59.357272727272736
1.796875,-31.48,1.45,71.3,-74.59,-94.71,59.81,-81.04,-180.63,-126.55,-52.12,-143.85,-59.309999999999995
1.8125,-36.74,2.24,69.66,-74.06,-94.31,55.64,-78.12,-177.88,-122.39,-64.73,-134.35,-59.549090909090914
1.828125,-42.59,3.18,68.05,-74.7,-93.77,53.44,-72.77,-175.81,-118.15,-78.88,-123.78,-59.61636363636364
1.84375,-48.71,4.09,67.61,-75.64,-93.3,52.04,-65.0,-174.73,-113.79,-90.17,-112.64,-59.11272727272728
1.859375,-54.78,4.93,68.59,-76.06,-93.29,50.09,-55.03,-174.98,-109.19,-93.83,-101.69,-57.74909090909091
1.875,-60.57,5.62,70.41,-75.47,-94.19,46.56,-43.32,-176.02,-104.32,-86.37,-91.54,-55.38272727272727
1.890625,-66.09,6.06,72.07,-73.97,-96.16,41.16,-30.62,-176.17,-99.24,-66.88,-82.58,-52.03818181818181
