Timestamp,Participant_11,Participant_12,Participant_13,Participant_14,Participant_15,Participant_16,Participant_17,Participant_18,Participant_22,Participant_23,Participant_24,Average
0.0,7.29,-364.58,23.23,-12.52,64.0,35.87,40.55,9.36,1.52,-0.23,-410.56,-55.097272727272724
0.015625,6.36,-328.18,26.54,1.96,-0.0,34.89,43.03,9.46,-0.46,9.92,-368.43,-51.355454545454556
0.03125,5.49,-293.7,26.69,14.17,-0.0,32.09,44.17,6.4,-3.06,18.7,-314.45,-42.13636363636363
0.046875,4.63,-262.83,24.08,23.31,-0.0,28.48,44.03,1.09,-6.04,24.74,-257.09,-34.14545454545454
0.0625,3.71,-235.45,19.64,29.24,-0.0,25.35,42.83,-5.02,-9.06,27.37,-205.58,-27.90636363636364
0.078125,2.73,-210.72,14.37,32.27,-0.0,24.05,40.97,-10.47,-11.8,26.77,-167.26,-23.553636363636368
0.09375,1.69,-188.08,8.89,33.03,-0.0,25.52,38.9,-14.13,-14.18,23.67,-145.15,-20.894545454545458
0.109375,0.65,-167.59,3.37,32.24,-0.0,30.02,37.0,-15.33,-16.34,19.02,-136.63,-19.417272727272724
0.125,-0.34,-149.49,-2.28,30.67,-0.0,37.09,35.43,-13.78,-18.62,13.86,-134.31,-18.342727272727274
0.140625,-1.27,-133.7,-8.11,28.98,-0.0,45.76,34.1,-9.54,-21.34,8.96,-128.67,-16.80272727272727
0.15625,-2.11,-119.57,-13.85,27.65,-0.0,55.05,32.84,-2.99,-24.62,4.94,-111.79,-14.04090909090909
0.171875,-2.89,-106.08,-18.9,26.81,0.0,64.25,31.44,5.04,-28.17,2.18,-80.26,-9.68909090909091
0.1875,-3.55,-92.41,-22.51,26.27,0.01,73.13,29.8,13.28,-31.36,0.83,-36.03,-3.8672727272727268
0.203125,-4.05,-78.28,-24.18,25.62,0.01,81.63,27.92,20.17,-33.38,0.8,14.76,2.8200000000000016
0.21875,-4.32,-64.07,-23.92,24.49,-0.0,89.6,25.81,24.21,-33.52,1.71,64.18,9.47
0.234375,-4.28,-50.63,-22.26,22.77,-0.03,96.47,23.36,24.33,-31.48,3.06,104.7,15.091818181818182
0.25,-3.9,-38.76,-20.13,20.73,-0.05,101.25,20.41,20.27,-27.5,4.33,130.36,18.819090909090907
0.265625,-3.24,-28.83,-18.43,18.94,-0.05,102.79,16.75,12.73,-22.3,5.22,137.22,20.072727272727274
0.28125,-2.45,-20.65,-17.63,18.01,0.0,100.15,12.33,3.17,-16.78,5.78,123.68,18.69181818181818
0.296875,-1.7,-13.58,-17.65,18.33,0.13,92.96,7.34,-6.43,-11.82,6.39,91.19,15.014545454545452
0.3125,-1.15,-6.75,-17.84,19.77,0.36,81.65,2.24,-14.15,-7.88,7.46,44.78,9.862727272727273
0.328125,-0.88,0.52,-17.45,21.78,0.66,67.47,-2.5,-18.58,-5.11,9.22,-7.53,4.327272727272727
0.34375,-0.86,8.53,-15.93,23.52,1.01,52.3,-6.49,-19.17,-3.44,11.48,-56.91,-0.5418181818181825
0.359375,-1.0,17.16,-13.22,24.24,1.37,38.26,-9.67,-16.33,-2.71,13.63,-96.86,-4.102727272727273
0.375,-1.21,25.94,-9.84,23.54,1.72,27.39,-12.2,-11.29,-2.85,14.95,-125.55,-6.3090909090909095
0.390625,-1.41,34.34,-6.62,21.45,2.06,21.08,-14.37,-5.75,-3.81,14.8,-145.92,-7.6499999999999995
0.40625,-1.63,41.99,-4.42,18.3,2.4,19.76,-16.41,-1.54,-5.48,12.98,-163.6,-8.877272727272727
0.421875,-1.88,48.72,-3.83,14.47,2.79,22.72,-18.36,-0.17,-7.69,9.69,-183.73,-10.66090909090909
0.4375,-2.13,54.68,-4.92,10.35,3.24,28.29,-20.13,-2.53,-10.17,5.45,-208.56,-13.311818181818182
0.453125,-2.29,60.25,-7.38,6.42,3.8,34.29,-21.58,-8.53,-12.58,0.98,-236.57,-16.653636363636362
0.46875,-2.26,65.86,-10.59,3.3,4.42,38.57,-22.64,-17.15,-14.62,-3.05,-264.27,-20.22090909090909
0.484375,-1.95,71.94,-13.94,1.63,5.06,39.73,-23.38,-26.57,-16.07,-6.05,-288.17,-23.433636363636367
0.5,-1.43,78.73,-16.97,1.67,5.66,37.41,-23.99,-34.77,-16.85,-7.77,-306.0,-25.846363636363638
0.515625,-0.89,86.31,-19.49,2.96,6.2,32.27,-24.66,-40.22,-17.06,-8.29,-316.76,-27.23909090909091
0.53125,-0.57,94.56,-21.53,4.27,6.68,25.72,-25.59,-42.44,-17.02,-8.18,-320.01,-27.64636363636364
0.546875,-0.61,103.21,-23.23,4.15,7.15,19.47,-26.87,-42.1,-17.12,-8.25,-315.46,-27.24181818181818
0.5625,-0.96,111.96,-24.72,1.63,7.68,14.98,-28.52,-40.59,-17.73,-9.4,-303.25,-26.265454545454546
0.578125,-1.28,120.57,-26.06,-3.16,8.31,13.04,-30.31,-39.32,-18.92,-12.14,-284.42,-24.88090909090909
0.59375,-1.17,129.04,-27.29,-9.11,9.14,13.69,-31.77,-39.03,-20.48,-16.42,-260.85,-23.113636363636367
0.609375,-0.35,137.67,-28.45,-14.79,10.09,16.24,-32.2,-39.79,-21.88,-21.49,-235.3,-20.931818181818183
0.625,1.2,146.96,-29.63,-19.37,11.04,19.65,-30.85,-41.15,-22.6,-26.18,-210.76,-18.335454545454546
0.640625,3.19,157.61,-30.85,-23.14,11.88,22.82,-27.22,-42.68,-22.28,-29.39,-189.44,-15.409090909090908
0.65625,5.08,170.12,-32.0,-27.22,12.56,24.97,-21.36,-44.3,-20.98,-30.48,-172.16,-12.342727272727272
0.671875,6.46,184.69,-32.77,-32.76,13.14,25.71,-13.98,-46.17,-19.07,-29.66,-158.39,-9.345454545454544
0.6875,7.09,201.13,-32.69,-40.07,13.76,25.12,-6.29,-48.38,-17.1,-27.72,-146.72,-6.5336363636363615
0.703125,7.0,218.89,-31.39,-48.33,14.65,23.57,0.31,-50.67,-15.61,-25.73,-135.54,-3.8954545454545477
0.71875,6.31,237.31,-28.84,-56.11,15.96,21.64,4.69,-52.33,-14.89,-24.4,-123.71,-1.3063636363636355
0.734375,5.11,255.8,-25.42,-62.22,17.91,19.99,6.23,-52.65,-14.95,-23.79,-110.05,1.4509090909090956
0.75,3.37,274.16,-21.88,-66.35,20.32,19.29,4.96,-51.23,-15.66,-23.28,-94.37,4.484545454545458
0.765625,1.0,292.63,-19.0,-69.24,22.9,20.23,1.46,-48.32,-16.87,-21.91,-77.46,7.765454545454543
0.78125,-1.95,312.01,-17.29,-72.19,25.38,23.39,-3.44,-44.8,-18.53,-19.03,-60.67,11.170909090909092
0.796875,-5.2,333.62,-16.84,-76.31,27.58,29.09,-8.81,-41.88,-20.79,-14.54,-45.09,14.620909090909093
0.8125,-8.23,358.98,-17.35,-82.07,29.57,37.19,-13.82,-40.73,-23.77,-9.17,-31.01,18.144545454545458
0.828125,-10.49,389.17,-18.33,-89.07,31.68,47.09,-17.78,-42.0,-27.37,-4.07,-17.76,21.91545454545455
0.84375,-11.6,423.89,-19.29,-96.23,34.32,57.87,-20.22,-45.63,-31.08,-0.34,-4.12,26.142727272727278
0.859375,-11.45,460.89,-19.78,-102.3,37.81,68.72,-20.95,-50.75,-33.99,1.42,11.28,30.99090909090909
0.875,-10.24,495.82,-19.39,-106.15,42.54,79.33,-20.02,-55.85,-35.14,1.3,31.57,36.70636363636363
0.890625,-8.28,523.18,-17.71,-107.21,48.15,90.06,-17.71,-59.38,-33.87,-0.08,58.77,43.265454545454546
0.90625,-5.78,537.78,-14.47,-105.46,54.1,101.94,-14.42,-60.18,-30.17,-1.94,92.84,50.38545454545454
0.921875,-2.84,536.2,-9.66,-101.38,59.83,116.38,-10.47,-58.08,-24.57,-3.73,131.95,57.60272727272727
0.9375,0.61,517.71,-3.67,-95.72,64.97,134.95,-6.09,-53.92,-17.88,-5.05,173.72,64.51181818181819
0.953125,4.65,484.21,2.88,-89.24,69.58,159.27,-1.44,-49.08,-10.74,-5.65,216.46,70.99090909090908
0.96875,9.25,439.5,9.41,-82.45,74.14,190.65,3.36,-44.73,-3.38,-5.13,259.37,77.27181818181818
0.984375,14.29,388.09,15.78,-75.47,79.34,229.78,8.11,-41.07,4.13,-3.0,302.31,83.84454545454545
1.0,19.58,334.45,22.5,-67.93,85.71,275.96,12.66,-37.0,11.59,1.24,345.29,91.27727272727272
1.015625,24.91,282.33,30.61,-59.07,93.76,326.7,17.07,-30.48,18.43,7.65,392.44,100.39545454545454
1.03125,30.12,234.6,41.35,-47.89,103.0,377.68,21.72,-19.18,23.83,15.77,446.45,111.58636363636364
1.046875,35.17,192.98,55.61,-33.49,112.62,423.52,27.36,-1.33,27.11,24.76,506.88,124.65363636363637
1.0625,40.05,157.89,73.55,-15.37,121.73,459.12,34.87,23.69,28.23,33.68,570.42,138.89636363636365
1.078125,44.66,128.5,94.39,6.45,129.77,480.79,44.92,55.36,27.97,42.12,633.14,153.4609090909091
1.09375,48.84,103.23,116.57,31.47,136.75,487.02,57.5,92.29,27.8,50.16,692.19,167.62
1.109375,52.37,80.7,138.13,58.9,143.3,478.22,71.78,132.59,29.31,58.3,745.79,180.85363636363635
1.125,55.01,60.49,157.1,87.93,150.75,456.04,86.19,174.45,33.63,66.97,792.38,192.81272727272727
1.140625,56.54,43.64,172.04,117.86,157.77,422.63,98.8,216.38,41.14,76.08,829.88,202.9781818181818
1.15625,56.77,32.1,182.37,148.11,166.64,380.2,107.91,257.43,51.42,85.01,862.72,211.88000000000002
1.171875,55.41,27.73,188.45,178.11,177.95,331.26,112.49,297.03,63.48,92.7,893.75,219.8509090909091
1.1875,52.1,31.39,191.45,207.29,191.79,278.62,112.43,334.86,76.15,98.09,921.84,226.91000000000003
1.203125,46.47,42.42,193.03,235.13,206.97,225.4,108.49,370.47,88.5,100.44,942.36,232.69818181818184
1.21875,38.37,58.94,194.56,261.35,220.57,174.42,102.08,402.83,100.05,99.48,950.74,236.67181818181817
1.234375,28.11,78.51,196.48,285.9,228.25,127.44,94.75,430.0,110.94,95.29,945.22,238.2627272727273
1.25,16.6,98.79,197.8,308.66,225.36,84.49,87.68,448.95,121.69,88.21,926.73,236.81454545454545
1.265625,5.23,117.63,195.97,328.75,208.53,44.01,81.2,455.78,132.93,78.61,897.41,231.4590909090909
1.28125,-4.45,132.75,187.36,344.23,176.87,3.15,74.39,446.41,144.91,66.76,858.67,221.00454545454548
1.296875,-11.25,141.57,168.39,352.05,132.76,-41.55,65.23,417.99,157.33,52.9,819.9,205.0290909090909
1.3125,-14.63,141.54,136.97,348.86,80.05,-93.04,51.06,370.4,169.3,37.28,787.61,183.21818181818182
1.328125,-14.8,131.43,93.41,332.2,23.07,-152.35,29.58,307.09,179.53,20.37,762.17,155.6090909090909
1.34375,-12.62,112.16,40.47,301.38,-34.94,-217.34,-0.15,234.66,186.43,2.81,738.8,122.8781818181818
1.359375,-9.26,87.11,-17.63,257.64,-92.44,-282.19,-36.93,160.96,188.17,-14.63,712.66,86.67818181818183
1.375,-6.02,60.82,-76.4,203.83,-149.16,-338.28,-77.21,92.53,182.83,-31.27,682.42,49.46272727272728
1.390625,-4.0,37.04,-131.98,143.71,-205.23,-376.71,-115.66,32.6,168.62,-46.62,650.26,13.820909090909089
1.40625,-3.98,17.11,-181.25,81.57,-260.37,-391.44,-146.47,-19.07,144.79,-60.3,619.62,-18.16272727272726
1.421875,-6.15,-0.19,-221.45,22.1,-313.74,-381.85,-164.88,-64.64,112.3,-71.81,539.48,-50.07545454545454
1.4375,-10.14,-17.33,-250.1,-29.76,-363.87,-353.47,-168.41,-105.75,74.3,-80.36,387.17,-83.42909090909089
1.453125,-15.09,-36.03,-265.32,-69.53,-409.83,-316.12,-157.51,-141.78,35.46,-84.93,176.59,-116.73545454545456
1.46875,-19.91,-55.93,-266.79,-94.28,-450.91,-280.59,-135.29,-170.0,0.65,-84.74,-48.62,-146.03727272727272
