Timestamp,Participant_11,Participant_12,Participant_13,Participant_14,Participant_15,Participant_16,Participant_17,Participant_18,Participant_22,Participant_23,Participant_24,Average
0.0,64.0,-88.66,12.32,64.0,62.73,-21.21,64.0,64.0,-205.03,64.0,64.0,13.104545454545452
0.015625,-0.0,-81.0,13.08,-0.0,63.87,-20.37,-0.0,-0.0,-218.01,-0.0,-0.0,-22.03909090909091
0.03125,-0.0,-75.7,13.93,-0.0,64.08,-21.78,-0.0,-0.0,-230.17,-0.0,-0.0,-22.69454545454545
0.046875,-0.0,-72.64,14.79,-0.0,63.19,-24.35,-0.0,-0.0,-240.3,-0.0,-0.0,-23.573636363636364
0.0625,-0.0,-71.21,15.59,-0.0,61.22,-26.8,-0.0,-0.0,-247.39,-0.0,-0.0,-24.417272727272724
0.078125,-0.0,-70.55,16.22,-0.0,58.4,-27.99,-0.0,-0.0,-250.96,-0.0,-0.0,-24.98909090909091
0.09375,-0.0,-69.84,16.6,-0.0,55.08,-27.06,-0.0,-0.0,-251.2,-0.0,-0.0,-25.12909090909091
0.109375,-0.0,-68.55,16.74,-0.0,51.66,-23.43,-0.0,-0.0,-248.7,-0.0,-0.0,-24.75272727272727
0.125,-0.0,-66.47,16.7,-0.0,48.41,-16.75,-0.0,-0.0,-244.03,-0.0,-0.0,-23.83090909090909
0.140625,-0.0,-63.76,16.63,-0.0,45.34,-6.89,-0.0,-0.0,-237.48,-0.0,-0.0,-22.378181818181815
0.15625,-0.0,-60.73,16.57,-0.0,42.29,6.01,-0.0,-0.0,-229.03,-0.0,-0.0,-20.44454545454545
0.171875,0.0,-57.74,16.55,0.0,38.95,21.06,0.0,0.0,-218.44,0.0,0.0,-18.14727272727273
0.1875,0.01,-55.04,16.44,0.01,35.12,36.3,0.01,0.01,-205.51,0.01,0.01,-15.693636363636365
0.203125,0.01,-52.72,16.08,0.01,30.72,48.43,0.01,0.01,-190.12,0.01,0.01,-13.413636363636364
0.21875,-0.0,-50.92,15.32,-0.0,25.93,53.33,-0.0,-0.0,-172.27,-0.0,-0.0,-11.691818181818183
0.234375,-0.03,-49.87,14.07,-0.03,21.0,47.16,-0.03,-0.03,-152.11,-0.03,-0.03,-10.902727272727274
0.25,-0.05,-50.04,12.39,-0.05,16.18,27.78,-0.05,-0.05,-130.01,-0.05,-0.05,-11.272727272727272
0.265625,-0.05,-52.04,10.43,-0.05,11.44,-4.17,-0.05,-0.05,-106.8,-0.05,-0.05,-12.858181818181817
0.28125,0.0,-56.39,8.44,0.0,6.51,-45.04,0.0,0.0,-83.73,0.0,0.0,-15.473636363636365
0.296875,0.13,-63.31,6.64,0.13,0.91,-89.19,0.13,0.13,-62.36,0.13,0.13,-18.775454545454547
0.3125,0.36,-72.57,5.2,0.36,-5.83,-130.73,0.36,0.36,-43.92,0.36,0.36,-22.335454545454546
0.328125,0.66,-83.62,4.2,0.66,-13.95,-165.39,0.66,0.66,-29.04,0.66,0.66,-25.80363636363636
0.34375,1.01,-95.76,3.67,1.01,-23.29,-191.66,1.01,1.01,-17.47,1.01,1.01,-28.950000000000003
0.359375,1.37,-108.4,3.56,1.37,-33.32,-210.03,1.37,1.37,-8.39,1.37,1.37,-31.669090909090905
0.375,1.72,-121.19,3.88,1.72,-43.26,-221.77,1.72,1.72,-0.83,1.72,1.72,-33.89545454545454
0.390625,2.06,-133.88,4.64,2.06,-52.4,-227.89,2.06,2.06,5.81,2.06,2.06,-35.57818181818181
0.40625,2.4,-146.26,5.78,2.4,-60.27,-228.79,2.4,2.4,11.7,2.4,2.4,-36.67636363636364
0.421875,2.79,-157.97,7.18,2.79,-66.86,-224.72,2.79,2.79,16.7,2.79,2.79,-37.17545454545455
0.4375,3.24,-168.63,8.56,3.24,-72.61,-216.36,3.24,3.24,20.81,3.24,3.24,-37.16272727272727
