Timestamp,Participant_11,Participant_12,Participant_13,Participant_14,Participant_15,Participant_16,Participant_17,Participant_18,Participant_22,Participant_23,Participant_24,Average
0.0,5.9,12.93,3.48,62.9,81.18,-42.7,-70.4,-79.61,41.46,-61.98,4.0,-3.8945454545454536
0.015625,4.32,19.23,-4.66,57.12,81.78,-42.62,-73.91,-66.62,36.36,-63.96,6.28,-4.243636363636365
0.03125,2.91,31.37,-15.59,50.88,84.45,-40.8,-76.21,-61.23,31.88,-68.56,9.79,-4.646363636363636
0.046875,1.76,46.97,-29.03,44.65,89.16,-37.12,-77.4,-62.27,28.1,-76.15,13.95,-5.216363636363639
0.0625,0.85,62.19,-43.52,38.87,95.33,-31.81,-78.03,-67.22,24.79,-86.51,18.19,-6.079090909090911
0.078125,0.06,73.55,-56.09,33.86,101.87,-25.42,-78.78,-73.46,21.57,-98.9,22.11,-7.23909090909091
0.09375,-0.84,79.42,-62.6,29.76,107.28,-18.87,-80.14,-78.94,18.03,-112.36,25.47,-8.526363636363635
0.109375,-2.1,80.42,-58.91,26.56,109.86,-13.14,-82.11,-82.18,13.97,-125.89,28.06,-9.587272727272728
0.125,-3.91,78.83,-42.65,24.13,108.04,-8.95,-84.42,-82.03,9.47,-138.67,29.76,-10.036363636363633
0.140625,-6.27,77.19,-14.66,22.34,100.78,-6.51,-86.66,-77.46,4.89,-150.02,30.43,-9.631818181818183
0.15625,-8.99,77.19,20.69,21.01,87.96,-5.56,-88.53,-67.65,0.63,-159.31,30.0,-8.414545454545454
0.171875,-11.77,79.3,56.79,19.95,70.58,-5.51,-89.9,-52.5,-3.03,-165.88,28.41,-6.68727272727273
0.1875,-14.29,82.95,87.22,18.92,50.6,-5.68,-90.71,-32.93,-6.16,-169.13,25.67,-4.867272727272724
0.203125,-16.41,87.13,108.04,17.63,30.56,-5.53,-90.82,-10.83,-9.19,-168.69,21.88,-3.293636363636364
0.21875,-18.13,90.8,118.85,15.8,12.93,-4.81,-89.98,11.23,-12.64,-164.68,17.19,-2.1309090909090918
0.234375,-19.66,93.11,122.13,13.22,-0.49,-3.8,-87.9,30.61,-16.94,-157.78,11.85,-1.4227272727272728
0.25,-21.26,93.47,121.41,9.83,-8.8,-2.88,-84.41,45.02,-22.12,-149.03,6.2,-1.1427272727272737
0.265625,-23.17,91.61,119.41,5.74,-12.12,-2.34,-79.6,52.87,-27.77,-139.52,0.57,-1.3018181818181844
0.28125,-25.5,87.58,117.21,1.23,-11.25,-2.07,-73.85,53.53,-33.25,-130.04,-4.74,-1.9227272727272726
0.296875,-28.2,81.73,114.59,-3.24,-7.36,-1.68,-67.73,47.4,-37.96,-120.85,-9.57,-2.988181818181819
0.3125,-31.01,74.56,111.06,-7.15,-1.57,-0.66,-61.88,35.87,-41.66,-111.81,-13.88,-4.375454545454549
0.328125,-33.47,66.52,106.7,-9.99,5.13,1.39,-56.8,21.05,-44.58,-102.65,-17.81,-5.864545454545456
0.34375,-34.98,57.95,102.26,-11.44,11.98,4.54,-52.74,5.39,-47.4,-93.19,-21.52,-7.1954545454545435
0.359375,-34.95,49.03,98.63,-11.48,18.42,8.49,-49.62,-8.72,-50.9,-83.42,-25.13,-8.15
0.375,-32.96,39.98,96.2,-10.41,23.98,12.4,-47.04,-19.39,-55.68,-73.43,-28.64,-8.635454545454547
0.390625,-28.88,31.06,94.54,-8.85,28.22,15.48,-44.39,-25.37,-61.8,-63.29,-31.96,-8.658181818181818
0.40625,-22.96,22.52,92.67,-7.5,30.87,17.31,-40.99,-26.2,-68.65,-52.91,-34.91,-8.25
0.421875,-15.78,14.4,89.59,-7.0,31.8,18.04,-36.4,-22.28,-74.95,-42.19,-37.38,-7.468181818181819
0.4375,-8.11,6.33,84.84,-7.76,31.07,18.18,-30.53,-14.88,-79.08,-31.21,-39.21,-6.396363636363637
0.453125,-0.79,-2.39,78.69,-9.87,28.94,18.23,-23.73,-5.99,-79.51,-20.25,-40.47,-5.194545454545456
0.46875,5.5,-12.49,72.09,-13.14,25.75,18.46,-16.67,2.16,-75.32,-9.84,-41.46,-4.087272727272727
0.484375,10.26,-24.16,66.11,-17.16,21.91,18.89,-10.12,7.65,-66.49,-0.54,-42.69,-3.3036363636363633
0.5,13.32,-36.79,61.49,-21.44,17.76,19.5,-4.68,9.58,-54.04,7.3,-44.33,-2.939090909090909
0.515625,14.77,-48.82,58.32,-25.56,13.61,19.49,-0.73,8.26,-39.71,13.65,-46.39,-3.01
0.53125,14.93,-58.21,55.93,-29.3,9.71,18.39,1.64,5.1,-25.41,18.8,-48.77,-3.380909090909091
0.546875,14.24,-63.04,53.24,-32.74,6.26,16.48,2.58,1.86,-12.73,23.21,-51.3,-3.812727272727272
0.5625,13.07,-62.21,49.12,-36.23,3.35,14.7,2.31,-0.03,-2.49,27.26,-53.75,-4.081818181818181
0.578125,11.69,-55.67,43.0,-40.26,1.05,14.0,1.11,0.13,5.28,31.15,-55.68,-4.0181818181818185
0.59375,10.19,-44.41,35.06,-45.19,-0.73,14.74,-0.73,2.16,11.13,34.9,-56.72,-3.5999999999999996
0.609375,8.55,-29.97,26.14,-51.12,-2.16,16.74,-2.88,5.38,15.78,38.46,-56.68,-2.8872727272727263
0.625,6.71,-13.97,17.42,-57.77,-3.49,19.52,-4.95,8.95,19.82,41.91,-55.68,-1.9572727272727273
0.640625,4.67,2.23,9.91,-64.49,-5.0,22.85,-6.59,12.1,23.51,45.44,-53.79,-0.8327272727272731
0.65625,2.52,17.66,3.96,-70.43,-6.91,24.94,-7.55,14.22,26.89,49.33,-51.24,0.30818181818181695
0.671875,0.4,31.61,-0.73,-74.74,-9.43,24.54,-7.84,14.91,29.89,53.67,-48.47,1.2554545454545456
0.6875,-1.59,43.53,-4.97,-76.75,-12.63,21.61,-7.76,14.03,32.47,58.34,-46.1,1.8345454545454545
0.703125,-3.41,52.9,-9.6,-76.11,-16.46,17.45,-7.82,11.75,34.6,63.02,-44.77,1.9590909090909094
0.71875,-5.13,59.35,-15.08,-72.95,-20.68,13.71,-8.54,8.57,36.25,67.44,-44.49,1.6772727272727268
0.734375,-6.82,62.79,-21.33,-67.86,-24.87,11.41,-10.18,5.17,37.35,71.52,-45.32,1.0781818181818181
0.75,-8.52,63.43,-27.85,-61.9,-28.49,10.89,-12.56,2.11,37.77,75.46,-47.53,0.255454545454545
0.765625,-10.21,61.83,-34.0,-56.38,-30.95,11.99,-15.22,-0.49,37.46,79.46,-51.61,-0.7381818181818193
0.78125,-11.78,58.69,-39.32,-52.46,-31.85,14.62,-17.57,-3.05,36.51,83.4,-57.43,-1.8400000000000007
