Timestamp,Participant_11,Participant_12,Participant_13,Participant_14,Participant_15,Participant_16,Participant_17,Participant_18,Participant_22,Participant_23,Participant_24,Average
0.0,93.48,0.77,36.17,-37.92,53.71,169.08,-124.33,-10.58,34.36,-11.55,-42.34,14.622727272727273
0.015625,97.35,-3.13,37.99,-42.3,62.05,170.14,-129.77,-11.46,35.82,-11.43,-44.09,14.651818181818179
0.03125,100.94,-7.18,39.07,-45.15,68.74,167.21,-134.48,-12.0,35.32,-11.09,-46.67,14.064545454545453
0.046875,102.71,-11.83,39.21,-45.76,73.79,160.57,-136.57,-12.26,33.11,-10.34,-50.15,12.952727272727275
0.0625,100.93,-17.72,38.1,-43.54,77.35,150.89,-135.11,-12.48,29.86,-9.31,-54.42,11.32272727272727
0.078125,94.4,-25.43,35.69,-38.19,79.54,139.53,-130.74,-13.02,26.44,-8.42,-59.25,9.140909090909089
0.09375,82.95,-35.18,32.21,-29.91,80.53,128.38,-125.53,-14.31,23.75,-8.08,-64.41,6.399999999999998
0.109375,67.36,-46.58,28.2,-19.44,80.34,119.36,-122.24,-16.64,22.69,-8.49,-69.75,3.1645454545454537
0.125,49.13,-58.53,24.32,-7.97,78.97,113.87,-123.23,-19.94,24.14,-9.42,-75.09,-0.3409090909090922
0.140625,30.31,-69.36,21.16,3.2,76.37,112.49,-129.58,-23.65,28.99,-10.31,-80.17,-3.6863636363636374
0.15625,13.18,-77.31,18.97,12.92,72.56,115.01,-140.74,-26.82,37.73,-10.55,-84.6,-6.331818181818182
0.171875,0.04,-81.08,17.69,20.52,67.78,120.57,-154.89,-28.46,50.07,-9.76,-87.96,-7.77090909090909
0.1875,-7.41,-80.28,16.93,25.83,62.44,127.83,-169.42,-27.94,64.39,-8.05,-90.07,-7.795454545454546
0.203125,-8.65,-75.63,16.27,29.06,57.07,135.17,-181.38,-25.36,77.77,-5.9,-91.19,-6.615454545454549
0.21875,-4.75,-68.62,15.41,30.55,52.2,141.07,-187.82,-21.62,86.63,-3.92,-91.98,-4.804545454545457
0.234375,1.86,-60.93,14.24,30.59,48.13,144.6,-185.89,-18.16,87.89,-2.55,-93.27,-3.0445454545454536
0.25,8.2,-53.8,12.83,29.29,44.93,145.79,-173.5,-16.48,80.04,-1.92,-95.62,-1.8399999999999996
0.265625,11.97,-47.7,11.21,26.67,42.49,145.54,-149.97,-17.66,63.77,-1.86,-98.91,-1.3136363636363626
0.28125,12.48,-42.44,9.34,22.89,40.56,145.1,-116.51,-21.93,41.54,-2.13,-102.25,-1.2136363636363632
0.296875,10.7,-37.58,7.08,18.25,39.0,145.28,-76.07,-28.62,16.61,-2.57,-104.29,-1.1099999999999994
0.3125,8.49,-33.02,4.22,13.32,37.72,145.92,-32.4,-36.35,-8.09,-3.09,-103.73,-0.6372727272727303
0.328125,7.51,-29.18,0.64,8.72,36.69,146.05,11.43,-43.48,-30.6,-3.68,-99.82,0.3890909090909092
0.34375,8.38,-27.07,-3.69,4.94,35.88,144.58,53.94,-48.65,-49.94,-4.24,-92.76,1.942727272727273
0.359375,10.52,-27.95,-8.7,2.18,35.2,141.1,95.15,-51.18,-65.68,-4.71,-83.64,3.8445454545454565
0.375,12.76,-32.96,-14.27,0.31,34.58,136.26,135.38,-51.14,-77.65,-5.0,-74.37,5.809090909090907
0.390625,13.77,-42.67,-20.22,-1.06,34.11,131.41,173.63,-49.18,-85.91,-5.11,-67.33,7.40363636363636
0.40625,12.53,-56.87,-26.28,-2.34,33.98,127.81,206.7,-46.11,-90.95,-5.14,-64.67,8.060000000000004
0.421875,8.27,-74.52,-32.1,-3.84,34.46,125.93,229.95,-42.64,-93.72,-5.2,-67.53,7.187272727272733
0.4375,0.55,-93.72,-37.29,-5.62,35.7,125.22,239.27,-39.23,-95.43,-5.42,-75.15,4.443636363636367
0.453125,-10.49,-111.8,-41.56,-7.56,37.56,124.63,233.31,-36.19,-96.9,-5.86,-84.46,0.06181818181818244
0.46875,-23.9,-125.67,-44.83,-9.52,39.63,123.21,214.6,-33.85,-98.24,-6.48,-90.72,-5.069999999999996
0.484375,-37.9,-132.55,-47.34,-11.5,41.34,120.59,188.64,-32.44,-98.78,-7.22,-89.05,-9.655454545454548
0.5,-50.38,-131.01,-49.59,-13.67,42.19,116.82,161.73,-32.11,-97.52,-8.02,-76.4,-12.54181818181818
0.515625,-59.68,-121.5,-52.28,-16.43,41.97,111.95,138.32,-32.66,-93.73,-8.7,-53.06,-13.254545454545452
0.53125,-65.39,-106.22,-56.07,-20.25,40.8,105.73,119.69,-33.49,-87.38,-9.03,-22.83,-12.22181818181818
0.546875,-68.63,-88.15,-61.31,-25.49,39.04,97.78,104.09,-33.86,-79.15,-8.84,8.3,-10.565454545454545
0.5625,-71.6,-69.76,-67.79,-32.38,37.05,88.13,88.39,-33.18,-70.16,-8.04,34.29,-9.550000000000004
0.578125,-76.62,-51.96,-74.61,-40.9,35.0,77.68,69.93,-31.23,-61.54,-6.8,51.06,-9.99909090909091
0.59375,-85.04,-34.15,-80.23,-50.87,32.83,68.02,47.66,-28.23,-54.11,-5.49,57.39,-12.020000000000003
0.609375,-96.8,-15.04,-82.86,-61.9,30.27,60.62,22.19,-24.52,-48.29,-4.51,54.61,-15.111818181818183
0.625,-110.61,5.87,-81.05,-73.36,27.1,55.73,-4.97,-20.31,-44.11,-4.03,45.38,-18.578181818181818
0.640625,-124.57,27.42,-74.25,-84.48,23.19,51.94,-31.94,-15.58,-41.36,-3.9,32.43,-21.918181818181814
0.65625,-136.84,46.85,-63.08,-94.57,18.62,46.7,-56.69,-10.23,-39.62,-3.7,17.77,-24.980909090909087
0.671875,-146.04,60.84,-49.26,-103.34,13.54,37.6,-76.95,-4.4,-38.43,-3.08,2.55,-27.906363636363633
0.6875,-151.4,66.98,-34.96,-111.15,8.17,23.82,-90.23,1.37,-37.33,-1.95,-12.73,-30.85545454545455
0.703125,-152.83,64.86,-22.16,-119.02,2.84,6.66,-94.55,6.19,-35.95,-0.66,-27.79,-33.855454545454556
0.71875,-150.74,56.27,-12.08,-128.1,-1.98,-10.96,-89.71,9.16,-34.13,0.17,-42.42,-36.77454545454545
0.734375,-145.71,44.57,-4.96,-139.05,-5.65,-25.92,-77.92,9.8,-31.92,0.0,-56.32,-39.370909090909095
0.75,-138.35,33.37,-0.32,-151.58,-7.36,-36.24,-63.65,8.27,-29.55,-1.27,-69.13,-41.43727272727273
0.765625,-129.44,25.52,2.58,-164.48,-6.47,-41.75,-52.18,5.39,-27.34,-3.15,-80.48,-42.89090909090908
0.78125,-119.98,22.37,4.33,-176.18,-2.67,-43.75,-47.63,2.23,-25.64,-4.84,-90.13,-43.808181818181815
0.796875,-111.16,23.54,5.13,-185.53,3.67,-44.08,-51.17,-0.27,-24.76,-5.54,-98.19,-44.39636363636364
0.8125,-104.17,27.13,4.83,-192.34,11.65,-44.27,-60.69,-1.82,-24.91,-4.95,-105.17,-44.973636363636366
0.828125,-99.81,30.47,3.18,-197.32,20.01,-45.02,-71.56,-2.96,-26.29,-3.41,-111.97,-45.88
0.84375,-98.48,31.13,0.16,-201.63,27.55,-46.3,-78.39,-4.99,-28.94,-1.67,-119.51,-47.370000000000005
0.859375,-99.53,27.84,-3.87,-206.36,33.43,-47.73,-76.8,-9.56,-32.81,-0.51,-128.36,-49.47818181818182
0.875,-101.02,20.81,-8.15,-212.11,37.27,-48.86,-64.57,-18.08,-37.62,-0.45,-138.29,-51.91545454545455
0.890625,-100.18,11.64,-11.74,-218.97,39.1,-49.35,-42.15,-31.17,-42.88,-1.5,-148.13,-54.12090909090909
0.90625,-94.83,2.59,-13.83,-226.45,39.19,-48.87,-12.33,-48.21,-47.92,-3.28,-155.89,-55.4390909090909
0.921875,-84.42,-4.19,-14.1,-233.65,37.94,-47.02,20.67,-67.36,-52.05,-5.3,-159.19,-55.33363636363637
0.9375,-70.28,-7.29,-12.77,-239.2,35.79,-43.29,52.58,-85.91,-54.87,-7.12,-155.81,-53.470000000000006
0.953125,-54.93,-6.2,-10.52,-241.47,33.23,-37.24,80.3,-100.84,-56.34,-8.55,-144.21,-49.70636363636363
0.96875,-40.98,-0.86,-8.1,-238.9,30.79,-28.67,102.8,-109.39,-56.93,-9.5,-124.08,-43.983636363636364
0.984375,-30.78,8.72,-6.08,-230.54,28.9,-17.74,121.02,-109.53,-57.38,-9.91,-96.49,-36.34636363636364
