Timestamp,Participant_11,Participant_12,Participant_13,Participant_14,Participant_15,Participant_16,Participant_17,Participant_18,Participant_22,Participant_23,Participant_24,Average
0.0,0.29,21.26,64.0,64.0,0.87,0.87,14.65,3.89,13.79,55.51,64.0,27.55727272727273
0.015625,0.25,38.66,-0.0,-0.0,0.94,0.95,17.52,1.38,12.54,55.98,-0.0,11.656363636363636
0.03125,0.18,55.61,-0.0,-0.0,1.02,1.03,19.76,-1.63,11.24,56.38,-0.0,13.053636363636365
0.046875,0.14,67.77,-0.0,-0.0,1.12,1.12,21.34,-5.18,9.66,56.11,-0.0,13.825454545454544
0.0625,0.15,71.03,-0.0,-0.0,1.22,1.22,22.32,-9.05,7.62,54.58,-0.0,13.553636363636365
0.078125,0.25,63.16,-0.0,-0.0,1.33,1.34,22.83,-12.96,5.15,51.54,-0.0,12.058181818181817
0.09375,0.41,44.62,-0.0,-0.0,1.46,1.46,22.97,-16.64,2.32,47.21,-0.0,9.437272727272727
0.109375,0.59,18.42,-0.0,-0.0,1.6,1.61,22.8,-19.98,-0.75,42.23,-0.0,6.047272727272727
0.125,0.7,-11.04,-0.0,-0.0,1.76,1.77,22.34,-22.99,-4.02,37.32,-0.0,2.3490909090909096
0.140625,0.7,-39.39,-0.0,-0.0,1.93,1.95,21.66,-25.84,-7.56,33.04,-0.0,-1.228181818181818
0.15625,0.59,-63.59,-0.0,-0.0,2.13,2.14,20.92,-28.76,-11.54,29.45,-0.0,-4.423636363636362
0.171875,0.43,-82.42,0.0,0.0,2.35,2.37,20.31,-32.04,-16.2,26.14,0.0,-7.1872727272727275
0.1875,0.33,-96.39,0.01,0.01,2.59,2.61,19.95,-36.02,-21.71,22.4,0.01,-9.655454545454544
0.203125,0.39,-107.05,0.01,0.01,2.86,2.88,19.85,-40.92,-28.04,17.45,0.01,-12.05
0.21875,0.67,-116.3,-0.0,-0.0,3.16,3.18,19.81,-46.8,-34.82,10.73,-0.0,-14.57909090909091
0.234375,1.11,-125.7,-0.03,-0.03,3.49,3.51,19.59,-53.3,-41.29,1.94,-0.03,-17.34
0.25,1.57,-136.1,-0.05,-0.05,3.84,3.87,18.97,-59.65,-46.38,-8.81,-0.05,-20.258181818181818
0.265625,1.85,-147.4,-0.05,-0.05,4.23,4.26,17.86,-64.7,-49.07,-20.97,-0.05,-23.099090909090908
0.28125,1.83,-158.58,0.0,0.0,4.66,4.69,16.3,-67.23,-48.69,-33.49,0.0,-25.50090909090909
0.296875,1.5,-167.93,0.13,0.13,5.12,5.15,14.39,-66.33,-45.24,-44.79,0.13,-27.067272727272734
0.3125,1.01,-173.49,0.36,0.36,5.62,5.65,12.23,-61.77,-39.39,-52.9,0.36,-27.45090909090909
0.328125,0.63,-173.73,0.66,0.66,6.15,6.18,9.88,-54.05,-32.22,-55.92,0.66,-26.46363636363636
0.34375,0.64,-168.04,1.01,1.01,6.73,6.76,7.43,-44.31,-24.89,-52.56,1.01,-24.11
0.359375,1.15,-157.02,1.37,1.37,7.35,7.4,5.01,-33.9,-18.2,-42.69,1.37,-20.617272727272724
0.375,2.05,-142.13,1.72,1.72,8.01,8.08,2.82,-24.0,-12.53,-27.51,1.72,-16.368181818181817
0.390625,3.01,-125.3,2.06,2.06,8.71,8.8,1.01,-15.3,-7.87,-9.3,2.06,-11.823636363636364
0.40625,3.61,-108.13,2.4,2.4,9.46,9.55,-0.37,-7.97,-4.05,9.23,2.4,-7.406363636363635
0.421875,3.57,-91.57,2.79,2.79,10.26,10.3,-1.55,-1.79,-0.85,25.79,2.79,-3.4063636363636363
0.4375,2.85,-75.77,3.24,3.24,11.1,11.06,-2.92,3.62,1.85,39.01,3.24,0.0472727272727274
0.453125,1.77,-60.36,3.8,3.8,11.98,11.82,-4.84,8.5,4.19,48.61,3.8,3.0063636363636372
0.46875,0.87,-44.82,4.42,4.42,12.9,12.61,-7.51,12.94,6.37,55.06,4.42,5.607272727272727
0.484375,0.65,-28.85,5.06,5.06,13.88,13.48,-10.83,16.92,8.57,59.09,5.06,8.008181818181818
0.5,1.37,-12.51,5.66,5.66,14.94,14.45,-14.43,20.36,11.0,61.25,5.66,10.31
0.515625,2.84,3.86,6.2,6.2,16.06,15.53,-17.9,23.19,13.74,61.81,6.2,12.52090909090909
0.53125,4.48,19.91,6.68,6.68,17.25,16.7,-20.97,25.38,16.72,60.88,6.68,14.580909090909092
0.546875,5.56,35.7,7.15,7.15,18.49,17.92,-23.59,26.93,19.82,58.67,7.15,16.450000000000003
0.5625,5.57,51.91,7.68,7.68,19.72,19.13,-25.93,27.83,22.88,55.64,7.68,18.162727272727274
0.578125,4.48,69.72,8.31,8.31,20.92,20.3,-28.2,28.13,25.81,52.45,8.31,19.86727272727273
0.59375,2.72,90.42,9.14,9.14,22.01,21.37,-30.6,27.97,28.62,49.87,9.14,21.8
0.609375,1.12,114.7,10.09,10.09,22.93,22.31,-33.23,27.58,31.42,48.53,10.09,24.14818181818182
0.625,0.32,141.92,11.04,11.04,23.64,23.04,-36.09,27.21,34.39,48.71,11.04,26.932727272727274
0.640625,0.59,169.85,11.88,11.88,24.04,23.49,-39.13,27.07,37.67,50.28,11.88,29.954545454545453
0.65625,1.58,195.01,12.56,12.56,24.03,23.52,-42.14,27.23,41.35,52.65,12.56,32.81
0.671875,2.5,213.57,13.14,13.14,23.49,22.98,-44.78,27.63,45.32,54.87,13.14,35.0
0.6875,2.45,222.49,13.76,13.76,22.32,21.74,-46.51,28.15,49.3,55.73,13.76,36.08636363636364
0.703125,0.68,220.57,14.65,14.65,20.4,19.66,-46.73,28.62,52.98,54.07,14.65,35.836363636363636
0.71875,-3.24,208.62,15.96,15.96,17.71,16.73,-45.02,28.9,56.09,48.96,15.96,34.23909090909091
0.734375,-9.54,189.15,17.91,17.91,14.28,13.02,-41.3,28.86,58.54,39.99,17.91,31.520909090909097
0.75,-17.97,165.35,20.32,20.32,10.2,8.69,-35.93,28.38,60.53,27.37,20.32,27.96181818181818
0.765625,-27.66,140.15,22.9,22.9,5.69,4.01,-29.51,27.33,62.38,11.85,22.9,23.903636363636362
0.78125,-36.66,115.54,25.38,25.38,0.98,-0.75,-22.77,25.61,64.42,-5.39,25.38,19.73818181818182
0.796875,-42.38,92.45,27.58,27.58,-3.68,-5.37,-16.19,23.24,66.85,-22.99,27.58,15.879090909090905
0.8125,-42.26,71.1,29.57,29.57,-8.1,-9.75,-9.99,20.39,69.6,-39.68,29.57,12.729090909090907
0.828125,-35.13,51.41,31.68,31.68,-12.12,-13.82,-4.11,17.31,72.38,-54.43,31.68,10.593636363636362
0.84375,-21.99,33.43,34.32,34.32,-15.67,-17.6,1.56,14.27,74.81,-66.76,34.32,9.546363636363635
0.859375,-5.95,17.33,37.81,37.81,-18.7,-21.04,7.07,11.49,76.52,-76.74,37.81,9.400909090909092
0.875,8.86,3.33,42.54,42.54,-21.16,-24.0,12.28,9.01,77.22,-84.99,42.54,9.833636363636366
0.890625,19.02,-8.36,48.15,48.15,-22.98,-26.29,16.91,6.76,76.78,-92.37,48.15,10.356363636363636
0.90625,23.15,-17.72,54.1,54.1,-24.11,-27.72,20.69,4.54,75.12,-99.64,54.1,10.600909090909092
0.921875,22.19,-24.88,59.83,59.83,-24.51,-28.19,23.48,2.11,72.15,-107.08,59.83,10.432727272727272
0.9375,18.43,-30.12,64.97,64.97,-24.21,-27.81,25.34,-0.7,67.73,-114.47,64.97,9.91818181818182
0.953125,14.18,-34.02,69.58,69.58,-23.37,-26.92,26.49,-3.91,61.62,-121.24,69.58,9.233636363636363
0.96875,10.71,-37.45,74.14,74.14,-22.25,-25.97,27.24,-7.4,53.57,-126.89,74.14,8.543636363636363
0.984375,8.07,-41.48,79.34,79.34,-21.13,-25.39,27.74,-10.88,43.31,-131.31,79.34,7.904545454545456
1.0,5.68,-46.84,85.71,85.71,-20.26,-25.4,28.08,-14.07,30.64,-134.79,85.71,7.288181818181818
1.015625,3.19,-53.59,93.76,93.76,-19.72,-25.91,28.22,-16.81,15.52,-138.02,93.76,6.741818181818181
1.03125,0.9,-60.74,103.0,103.0,-19.42,-26.57,28.18,-19.14,-1.92,-141.72,103.0,6.233636363636363
1.046875,-0.45,-66.49,112.62,112.62,-19.13,-26.9,28.04,-21.28,-21.33,-146.45,112.62,5.806363636363638
1.0625,-0.25,-68.81,121.73,121.73,-18.55,-26.58,27.99,-23.61,-42.11,-152.23,121.73,5.549090909090911
1.078125,1.5,-66.45,129.77,129.77,-17.57,-25.61,28.13,-26.55,-63.44,-158.24,129.77,5.552727272727276
1.09375,4.16,-59.42,136.75,136.75,-16.26,-24.35,28.47,-30.43,-84.38,-162.51,136.75,5.95727272727273
1.109375,6.69,-49.15,143.3,143.3,-14.92,-23.4,28.82,-35.42,-103.97,-162.03,143.3,6.95636363636364
1.125,8.1,-37.81,150.75,150.75,-13.99,-23.33,28.86,-41.44,-121.44,-153.43,150.75,8.888181818181819
1.140625,7.92,-27.54,157.77,157.77,-13.8,-24.37,28.35,-48.05,-136.39,-134.22,157.77,11.382727272727276
1.15625,6.34,-19.93,166.64,166.64,-14.44,-26.31,27.21,-54.35,-148.79,-104.12,166.64,15.048181818181819
1.171875,4.1,-15.81,177.95,177.95,-15.63,-28.54,25.53,-59.15,-158.9,-65.7,177.95,19.977272727272723
1.1875,2.1,-15.83,191.79,191.79,-16.89,-30.35,23.55,-61.23,-166.98,-23.9,191.79,25.985454545454537
1.203125,1.05,-20.74,206.97,206.97,-17.63,-31.24,21.43,-59.73,-172.98,15.58,206.97,32.42272727272728
1.21875,1.14,-31.39,220.57,220.57,-17.56,-31.15,19.28,-54.49,-176.43,48.18,220.57,38.11727272727273
1.234375,1.96,-48.24,228.25,228.25,-16.78,-30.51,17.03,-46.2,-176.56,71.91,228.25,41.57818181818182
1.25,2.75,-70.57,225.36,225.36,-15.81,-29.94,14.57,-36.18,-172.65,87.37,225.36,41.42
1.265625,2.71,-96.07,208.53,208.53,-15.38,-30.11,11.83,-25.92,-164.49,96.76,208.53,36.810909090909085
1.28125,1.51,-121.2,176.87,176.87,-16.08,-31.49,8.82,-16.61,-152.57,102.32,176.87,27.75545454545455
1.296875,-0.63,-142.26,132.76,132.76,-18.08,-34.4,5.59,-8.83,-138.07,105.26,132.76,15.16909090909091
1.3125,-3.01,-156.56,80.05,80.05,-21.01,-38.9,2.26,-2.52,-122.47,105.68,80.05,0.3290909090909108
1.328125,-4.79,-163.52,23.07,23.07,-24.1,-44.52,-1.09,2.8,-107.11,103.27,23.07,-15.440909090909093
1.34375,-5.46,-164.71,-34.94,-34.94,-26.57,-49.99,-4.4,7.71,-92.91,98.19,-34.94,-31.178181818181823
1.359375,-5.06,-163.31,-92.44,-92.44,-27.93,-53.25,-7.7,12.58,-80.24,91.53,-92.44,-46.42727272727273
1.375,-4.1,-163.08,-149.16,-149.16,-28.19,-51.9,-11.11,17.51,-69.05,85.01,-149.16,-61.126363636363635
1.390625,-3.36,-167.06,-205.23,-205.23,-27.87,-44.21,-14.84,22.25,-59.1,80.21,-205.23,-75.42454545454545
1.40625,-3.44,-176.44,-260.37,-260.37,-27.75,-30.16,-19.18,26.46,-50.08,77.87,-260.37,-89.43909090909091
