bvp,time,sensor,phase,eda,temp,PPG GREEN
54.62,1669796618.734375,empatica_bvp,baseline,,,
49.12,1669796618.75,empatica_bvp,baseline,,,
44.41,1669796618.765625,empatica_bvp,baseline,,,
41.23,1669796618.78125,empatica_bvp,baseline,,,
39.96,1669796618.796875,empatica_bvp,baseline,,,
40.57,1669796618.8125,empatica_bvp,baseline,,,
42.71,1669796618.828125,empatica_bvp,baseline,,,
45.86,1669796618.84375,empatica_bvp,baseline,,,
49.54,1669796618.859375,empatica_bvp,baseline,,,
53.4,1669796618.875,empatica_bvp,baseline,,,
57.19,1669796618.890625,empatica_bvp,baseline,,,
60.74,1669796618.90625,empatica_bvp,baseline,,,
63.86,1669796618.921875,empatica_bvp,baseline,,,
66.25,1669796618.9375,empatica_bvp,baseline,,,
67.54,1669796618.953125,empatica_bvp,baseline,,,
67.28,1669796618.96875,empatica_bvp,baseline,,,
65.18,1669796618.984375,empatica_bvp,baseline,,,
61.25,1669796619.0,empatica_bvp,baseline,,,
55.95,1669796619.015625,empatica_bvp,baseline,,,
50.04,1669796619.03125,empatica_bvp,baseline,,,
44.39,1669796619.046875,empatica_bvp,baseline,,,
39.6,1669796619.0625,empatica_bvp,baseline,,,
35.83,1669796619.078125,empatica_bvp,baseline,,,
32.7,1669796619.09375,empatica_bvp,baseline,,,
29.63,1669796619.109375,empatica_bvp,baseline,,,
26.14,1669796619.125,empatica_bvp,baseline,,,
22.2,1669796619.140625,empatica_bvp,baseline,,,
18.22,1669796619.15625,empatica_bvp,baseline,,,
14.75,1669796619.171875,empatica_bvp,baseline,,,
12.25,1669796619.1875,empatica_bvp,baseline,,,
10.73,1669796619.203125,empatica_bvp,baseline,,,
9.78,1669796619.21875,empatica_bvp,baseline,,,
8.78,1669796619.234375,empatica_bvp,baseline,,,
7.2,1669796619.25,empatica_bvp,baseline,,,
4.79,1669796619.265625,empatica_bvp,baseline,,,
1.74,1669796619.28125,empatica_bvp,baseline,,,
-1.58,1669796619.296875,empatica_bvp,baseline,,,
-4.73,1669796619.3125,empatica_bvp,baseline,,,
-7.5,1669796619.328125,empatica_bvp,baseline,,,
-10.01,1669796619.34375,empatica_bvp,baseline,,,
-12.66,1669796619.359375,empatica_bvp,baseline,,,
-15.98,1669796619.375,empatica_bvp,baseline,,,
-20.34,1669796619.390625,empatica_bvp,baseline,,,
-25.82,1669796619.40625,empatica_bvp,baseline,,,
-32.01,1669796619.421875,empatica_bvp,baseline,,,
-38.18,1669796619.4375,empatica_bvp,baseline,,,
-43.47,1669796619.453125,empatica_bvp,baseline,,,
-47.23,1669796619.46875,empatica_bvp,baseline,,,
-49.28,1669796619.484375,empatica_bvp,baseline,,,
-50.08,1669796619.5,empatica_bvp,baseline,,,
-50.62,1669796619.515625,empatica_bvp,baseline,,,
-52.18,1669796619.53125,empatica_bvp,baseline,,,
-55.92,1669796619.546875,empatica_bvp,baseline,,,
-62.32,1669796619.5625,empatica_bvp,baseline,,,
-70.62,1669796619.578125,empatica_bvp,baseline,,,
-78.5,1669796619.59375,empatica_bvp,baseline,,,
-82.34,1669796619.609375,empatica_bvp,baseline,,,
-78.08,1669796619.625,empatica_bvp,baseline,,,
-62.7,1669796619.640625,empatica_bvp,baseline,,,
-35.44,1669796619.65625,empatica_bvp,baseline,,,
1.43,1669796619.671875,empatica_bvp,baseline,,,
43.05,1669796619.6875,empatica_bvp,baseline,,,
83.38,1669796619.703125,empatica_bvp,baseline,,,
117.05,1669796619.71875,empatica_bvp,baseline,,,
140.83,1669796619.734375,empatica_bvp,baseline,,,
154.3,1669796619.75,empatica_bvp,baseline,,,
159.36,1669796619.765625,empatica_bvp,baseline,,,
159.08,1669796619.78125,empatica_bvp,baseline,,,
156.39,1669796619.796875,empatica_bvp,baseline,,,
153.19,1669796619.8125,empatica_bvp,baseline,,,
150.13,1669796619.828125,empatica_bvp,baseline,,,
146.82,1669796619.84375,empatica_bvp,baseline,,,
142.45,1669796619.859375,empatica_bvp,baseline,,,
136.23,1669796619.875,empatica_bvp,baseline,,,
127.61,1669796619.890625,empatica_bvp,baseline,,,
116.44,1669796619.90625,empatica_bvp,baseline,,,
102.91,1669796619.921875,empatica_bvp,baseline,,,
87.52,1669796619.9375,empatica_bvp,baseline,,,
71.03,1669796619.953125,empatica_bvp,baseline,,,
54.25,1669796619.96875,empatica_bvp,baseline,,,
37.7,1669796619.984375,empatica_bvp,baseline,,,
21.29,1669796620.0,empatica_bvp,baseline,,,
4.09,1669796620.015625,empatica_bvp,baseline,,,
-15.5,1669796620.03125,empatica_bvp,baseline,,,
-39.26,1669796620.046875,empatica_bvp,baseline,,,
-68.28,1669796620.0625,empatica_bvp,baseline,,,
-102.26,1669796620.078125,empatica_bvp,baseline,,,
-139.05,1669796620.09375,empatica_bvp,baseline,,,
-174.9,1669796620.109375,empatica_bvp,baseline,,,
-205.18,1669796620.125,empatica_bvp,baseline,,,
-225.69,1669796620.140625,empatica_bvp,baseline,,,
-233.85,1669796620.15625,empatica_bvp,baseline,,,
-229.48,1669796620.171875,empatica_bvp,baseline,,,
-214.92,1669796620.1875,empatica_bvp,baseline,,,
-194.16,1669796620.203125,empatica_bvp,baseline,,,
-171.63,1669796620.21875,empatica_bvp,baseline,,,
-150.85,1669796620.234375,empatica_bvp,baseline,,,
-133.61,1669796620.25,empatica_bvp,baseline,,,
-119.95,1669796620.265625,empatica_bvp,baseline,,,
-108.7,1669796620.28125,empatica_bvp,baseline,,,
-98.39,1669796620.296875,empatica_bvp,baseline,,,
-87.97,1669796620.3125,empatica_bvp,baseline,,,
-77.09,1669796620.328125,empatica_bvp,baseline,,,
-66.05,1669796620.34375,empatica_bvp,baseline,,,
-55.47,1669796620.359375,empatica_bvp,baseline,,,
-45.94,1669796620.375,empatica_bvp,baseline,,,
-37.84,1669796620.390625,empatica_bvp,baseline,,,
-31.35,1669796620.40625,empatica_bvp,baseline,,,
-26.47,1669796620.421875,empatica_bvp,baseline,,,
-23.11,1669796620.4375,empatica_bvp,baseline,,,
-21.21,1669796620.453125,empatica_bvp,baseline,,,
-20.71,1669796620.46875,empatica_bvp,baseline,,,
-21.56,1669796620.484375,empatica_bvp,baseline,,,
-23.71,1669796620.5,empatica_bvp,baseline,,,
-27.07,1669796620.515625,empatica_bvp,baseline,,,
-31.48,1669796620.53125,empatica_bvp,baseline,,,
-36.74,1669796620.546875,empatica_bvp,baseline,,,
-42.59,1669796620.5625,empatica_bvp,baseline,,,
-48.71,1669796620.578125,empatica_bvp,baseline,,,
-54.78,1669796620.59375,empatica_bvp,baseline,,,
-60.57,1669796620.609375,empatica_bvp,baseline,,,
-66.09,1669796620.625,empatica_bvp,baseline,,,
-71.74,1669796620.640625,empatica_bvp,baseline,,,
-78.34,1669796620.65625,empatica_bvp,baseline,,,
-86.97,1669796620.671875,empatica_bvp,baseline,,,
-98.45,1669796620.6875,empatica_bvp,baseline,,,
-112.73,1669796620.703125,empatica_bvp,baseline,,,
-128.25,1669796620.71875,empatica_bvp,baseline,,,
-141.88,1669796620.734375,empatica_bvp,baseline,,,
-149.5,1669796620.75,empatica_bvp,baseline,,,
-147.26,1669796620.765625,empatica_bvp,baseline,,,
-132.99,1669796620.78125,empatica_bvp,baseline,,,
-107.1,1669796620.796875,empatica_bvp,baseline,,,
