bvp,time,sensor,phase,eda,temp,PPG GREEN
41.46,1549375729.640625,empatica_bvp,baseline,,,
36.36,1549375729.65625,empatica_bvp,baseline,,,
31.88,1549375729.671875,empatica_bvp,baseline,,,
28.1,1549375729.6875,empatica_bvp,baseline,,,
24.79,1549375729.703125,empatica_bvp,baseline,,,
21.57,1549375729.71875,empatica_bvp,baseline,,,
18.03,1549375729.734375,empatica_bvp,baseline,,,
13.97,1549375729.75,empatica_bvp,baseline,,,
9.47,1549375729.765625,empatica_bvp,baseline,,,
4.89,1549375729.78125,empatica_bvp,baseline,,,
0.63,1549375729.796875,empatica_bvp,baseline,,,
-3.03,1549375729.8125,empatica_bvp,baseline,,,
-6.16,1549375729.828125,empatica_bvp,baseline,,,
-9.19,1549375729.84375,empatica_bvp,baseline,,,
-12.64,1549375729.859375,empatica_bvp,baseline,,,
-16.94,1549375729.875,empatica_bvp,baseline,,,
-22.12,1549375729.890625,empatica_bvp,baseline,,,
-27.77,1549375729.90625,empatica_bvp,baseline,,,
-33.25,1549375729.921875,empatica_bvp,baseline,,,
-37.96,1549375729.9375,empatica_bvp,baseline,,,
-41.66,1549375729.953125,empatica_bvp,baseline,,,
-44.58,1549375729.96875,empatica_bvp,baseline,,,
-47.4,1549375729.984375,empatica_bvp,baseline,,,
-50.9,1549375730.0,empatica_bvp,baseline,,,
-55.68,1549375730.015625,empatica_bvp,baseline,,,
-61.8,1549375730.03125,empatica_bvp,baseline,,,
-68.65,1549375730.046875,empatica_bvp,baseline,,,
-74.95,1549375730.0625,empatica_bvp,baseline,,,
-79.08,1549375730.078125,empatica_bvp,baseline,,,
-79.51,1549375730.09375,empatica_bvp,baseline,,,
-75.32,1549375730.109375,empatica_bvp,baseline,,,
-66.49,1549375730.125,empatica_bvp,baseline,,,
-54.04,1549375730.140625,empatica_bvp,baseline,,,
-39.71,1549375730.15625,empatica_bvp,baseline,,,
-25.41,1549375730.171875,empatica_bvp,baseline,,,
-12.73,1549375730.1875,empatica_bvp,baseline,,,
-2.49,1549375730.203125,empatica_bvp,baseline,,,
5.28,1549375730.21875,empatica_bvp,baseline,,,
11.13,1549375730.234375,empatica_bvp,baseline,,,
15.78,1549375730.25,empatica_bvp,baseline,,,
19.82,1549375730.265625,empatica_bvp,baseline,,,
23.51,1549375730.28125,empatica_bvp,baseline,,,
26.89,1549375730.296875,empatica_bvp,baseline,,,
29.89,1549375730.3125,empatica_bvp,baseline,,,
32.47,1549375730.328125,empatica_bvp,baseline,,,
34.6,1549375730.34375,empatica_bvp,baseline,,,
36.25,1549375730.359375,empatica_bvp,baseline,,,
37.35,1549375730.375,empatica_bvp,baseline,,,
37.77,1549375730.390625,empatica_bvp,baseline,,,
37.46,1549375730.40625,empatica_bvp,baseline,,,
36.51,1549375730.421875,empatica_bvp,baseline,,,
35.19,1549375730.4375,empatica_bvp,baseline,,,
33.84,1549375730.453125,empatica_bvp,baseline,,,
32.76,1549375730.46875,empatica_bvp,baseline,,,
32.01,1549375730.484375,empatica_bvp,baseline,,,
31.43,1549375730.5,empatica_bvp,baseline,,,
30.64,1549375730.515625,empatica_bvp,baseline,,,
29.25,1549375730.53125,empatica_bvp,baseline,,,
27.0,1549375730.546875,empatica_bvp,baseline,,,
23.88,1549375730.5625,empatica_bvp,baseline,,,
20.19,1549375730.578125,empatica_bvp,baseline,,,
16.46,1549375730.59375,empatica_bvp,baseline,,,
13.22,1549375730.609375,empatica_bvp,baseline,,,
10.87,1549375730.625,empatica_bvp,baseline,,,
9.46,1549375730.640625,empatica_bvp,baseline,,,
8.75,1549375730.65625,empatica_bvp,baseline,,,
8.21,1549375730.671875,empatica_bvp,baseline,,,
7.39,1549375730.6875,empatica_bvp,baseline,,,
6.19,1549375730.703125,empatica_bvp,baseline,,,
5.02,1549375730.71875,empatica_bvp,baseline,,,
4.82,1549375730.734375,empatica_bvp,baseline,,,
6.67,1549375730.75,empatica_bvp,baseline,,,
11.31,1549375730.765625,empatica_bvp,baseline,,,
18.85,1549375730.78125,empatica_bvp,baseline,,,
28.56,1549375730.796875,empatica_bvp,baseline,,,
39.13,1549375730.8125,empatica_bvp,baseline,,,
49.11,1549375730.828125,empatica_bvp,baseline,,,
57.3,1549375730.84375,empatica_bvp,baseline,,,
63.06,1549375730.859375,empatica_bvp,baseline,,,
66.19,1549375730.875,empatica_bvp,baseline,,,
66.71,1549375730.890625,empatica_bvp,baseline,,,
64.61,1549375730.90625,empatica_bvp,baseline,,,
59.72,1549375730.921875,empatica_bvp,baseline,,,
51.71,1549375730.9375,empatica_bvp,baseline,,,
40.26,1549375730.953125,empatica_bvp,baseline,,,
25.18,1549375730.96875,empatica_bvp,baseline,,,
6.46,1549375730.984375,empatica_bvp,baseline,,,
-15.57,1549375731.0,empatica_bvp,baseline,,,
-40.05,1549375731.015625,empatica_bvp,baseline,,,
-65.39,1549375731.03125,empatica_bvp,baseline,,,
-89.19,1549375731.046875,empatica_bvp,baseline,,,
-108.67,1549375731.0625,empatica_bvp,baseline,,,
-121.33,1549375731.078125,empatica_bvp,baseline,,,
-125.8,1549375731.09375,empatica_bvp,baseline,,,
-122.44,1549375731.109375,empatica_bvp,baseline,,,
-113.15,1549375731.125,empatica_bvp,baseline,,,
-100.74,1549375731.140625,empatica_bvp,baseline,,,
-87.82,1549375731.15625,empatica_bvp,baseline,,,
-76.01,1549375731.171875,empatica_bvp,baseline,,,
-65.73,1549375731.1875,empatica_bvp,baseline,,,
-56.5,1549375731.203125,empatica_bvp,baseline,,,
-47.68,1549375731.21875,empatica_bvp,baseline,,,
-38.98,1549375731.234375,empatica_bvp,baseline,,,
-30.59,1549375731.25,empatica_bvp,baseline,,,
-23.01,1549375731.265625,empatica_bvp,baseline,,,
-16.56,1549375731.28125,empatica_bvp,baseline,,,
-11.21,1549375731.296875,empatica_bvp,baseline,,,
-6.6,1549375731.3125,empatica_bvp,baseline,,,
-2.26,1549375731.328125,empatica_bvp,baseline,,,
2.06,1549375731.34375,empatica_bvp,baseline,,,
6.33,1549375731.359375,empatica_bvp,baseline,,,
10.27,1549375731.375,empatica_bvp,baseline,,,
13.57,1549375731.390625,empatica_bvp,baseline,,,
16.07,1549375731.40625,empatica_bvp,baseline,,,
17.88,1549375731.421875,empatica_bvp,baseline,,,
19.29,1549375731.4375,empatica_bvp,baseline,,,
20.6,1549375731.453125,empatica_bvp,baseline,,,
21.99,1549375731.46875,empatica_bvp,baseline,,,
23.37,1549375731.484375,empatica_bvp,baseline,,,
24.37,1549375731.5,empatica_bvp,baseline,,,
24.54,1549375731.515625,empatica_bvp,baseline,,,
23.59,1549375731.53125,empatica_bvp,baseline,,,
21.53,1549375731.546875,empatica_bvp,baseline,,,
18.73,1549375731.5625,empatica_bvp,baseline,,,
15.76,1549375731.578125,empatica_bvp,baseline,,,
13.13,1549375731.59375,empatica_bvp,baseline,,,
11.06,1549375731.609375,empatica_bvp,baseline,,,
9.41,1549375731.625,empatica_bvp,baseline,,,
7.78,1549375731.640625,empatica_bvp,baseline,,,
5.76,1549375731.65625,empatica_bvp,baseline,,,
3.2,1549375731.671875,empatica_bvp,baseline,,,
0.26,1549375731.6875,empatica_bvp,baseline,,,
-2.71,1549375731.703125,empatica_bvp,baseline,,,
-5.38,1549375731.71875,empatica_bvp,baseline,,,
-7.67,1549375731.734375,empatica_bvp,baseline,,,
-9.76,1549375731.75,empatica_bvp,baseline,,,
-12.01,1549375731.765625,empatica_bvp,baseline,,,
-14.73,1549375731.78125,empatica_bvp,baseline,,,
-18.0,1549375731.796875,empatica_bvp,baseline,,,
-21.69,1549375731.8125,empatica_bvp,baseline,,,
-25.44,1549375731.828125,empatica_bvp,baseline,,,
-28.95,1549375731.84375,empatica_bvp,baseline,,,
-32.1,1549375731.859375,empatica_bvp,baseline,,,
-34.99,1549375731.875,empatica_bvp,baseline,,,
-37.98,1549375731.890625,empatica_bvp,baseline,,,
-41.56,1549375731.90625,empatica_bvp,baseline,,,
-46.19,1549375731.921875,empatica_bvp,baseline,,,
-52.14,1549375731.9375,empatica_bvp,baseline,,,
-59.29,1549375731.953125,empatica_bvp,baseline,,,
-67.0,1549375731.96875,empatica_bvp,baseline,,,
-74.08,1549375731.984375,empatica_bvp,baseline,,,
-78.92,1549375732.0,empatica_bvp,baseline,,,
-79.97,1549375732.015625,empatica_bvp,baseline,,,
-76.13,1549375732.03125,empatica_bvp,baseline,,,
-67.28,1549375732.046875,empatica_bvp,baseline,,,
-54.38,1549375732.0625,empatica_bvp,baseline,,,
-39.27,1549375732.078125,empatica_bvp,baseline,,,
-24.12,1549375732.09375,empatica_bvp,baseline,,,
